material	no.	type of sound change	specific point of sound change	symbol	katakana	explanation	sound *drive	text	Japanese
First Step	15	Linking	family is	/ˈfæməli ɪz/	ﾌｧﾐﾘｨｽﾞ	yとiが繋がり「ﾌｧﾐﾘｨｽﾞ」になります。		Thanksgiving. We are having Thanksgiving at our house.  My whole family is coming. My parents bought a turkey. It weighs 30 pounds. It takes a long time to cook. My mom wakes up early to cook the turkey.  I clean the house with my dad. The house smells good. We help mom in the kitchen. I peel potatoes and carrots.	Thanksgiving. / 感謝祭。 We are having Thanksgiving at our house. / 私たちの家で感謝祭を祝います。 My whole family is coming. / 家族全員が集まります。 My parents bought a turkey. / 両親が七面鳥を買いました。 It weighs 30 pounds. / 重さは30ポンドあります。 It takes a long time to cook. / 調理には長い時間がかかります。 My mom wakes up early to cook the turkey. / 母は七面鳥を料理するために早く起きます。 I clean the house with my dad. / 私は父と一緒に家を掃除します。 The house smells good. / 家の中は良い匂いがします。 We help mom in the kitchen. / 私たちはキッチンで母を手伝います。 I peel potatoes and carrots. / 私はジャガイモとニンジンの皮をむきます。
First Step	15	Linking	weights 30	/weɪts ˈθɜːrti/	ｳｪｲﾂｻｰﾘ	s(ts)とThが滑らかに繋がります。		Thanksgiving. We are having Thanksgiving at our house.  My whole family is coming. My parents bought a turkey. It weighs 30 pounds. It takes a long time to cook. My mom wakes up early to cook the turkey.  I clean the house with my dad. The house smells good. We help mom in the kitchen. I peel potatoes and carrots.	Thanksgiving. / 感謝祭。 We are having Thanksgiving at our house. / 私たちの家で感謝祭を祝います。 My whole family is coming. / 家族全員が集まります。 My parents bought a turkey. / 両親が七面鳥を買いました。 It weighs 30 pounds. / 重さは30ポンドあります。 It takes a long time to cook. / 調理には長い時間がかかります。 My mom wakes up early to cook the turkey. / 母は七面鳥を料理するために早く起きます。 I clean the house with my dad. / 私は父と一緒に家を掃除します。 The house smells good. / 家の中は良い匂いがします。 We help mom in the kitchen. / 私たちはキッチンで母を手伝います。 I peel potatoes and carrots. / 私はジャガイモとニンジンの皮をむきます。
First Step	15	Linking	wakes up	/weɪks ʌp/	ｳｪｲｸｻｯﾌﾟ	sとuが繋がり「ｳｪｲｸｻｯﾌﾟ」になります。		Thanksgiving. We are having Thanksgiving at our house.  My whole family is coming. My parents bought a turkey. It weighs 30 pounds. It takes a long time to cook. My mom wakes up early to cook the turkey.  I clean the house with my dad. The house smells good. We help mom in the kitchen. I peel potatoes and carrots.	Thanksgiving. / 感謝祭。 We are having Thanksgiving at our house. / 私たちの家で感謝祭を祝います。 My whole family is coming. / 家族全員が集まります。 My parents bought a turkey. / 両親が七面鳥を買いました。 It weighs 30 pounds. / 重さは30ポンドあります。 It takes a long time to cook. / 調理には長い時間がかかります。 My mom wakes up early to cook the turkey. / 母は七面鳥を料理するために早く起きます。 I clean the house with my dad. / 私は父と一緒に家を掃除します。 The house smells good. / 家の中は良い匂いがします。 We help mom in the kitchen. / 私たちはキッチンで母を手伝います。 I peel potatoes and carrots. / 私はジャガイモとニンジンの皮をむきます。
First Step	15	Linking	up early	/ʌp ˈɜːrli/	ｱｯﾊﾟｰﾘｰ	pとeが繋がり「ｱｯﾊﾟｰﾘｰ」になります。		Thanksgiving. We are having Thanksgiving at our house.  My whole family is coming. My parents bought a turkey. It weighs 30 pounds. It takes a long time to cook. My mom wakes up early to cook the turkey.  I clean the house with my dad. The house smells good. We help mom in the kitchen. I peel potatoes and carrots.	Thanksgiving. / 感謝祭。 We are having Thanksgiving at our house. / 私たちの家で感謝祭を祝います。 My whole family is coming. / 家族全員が集まります。 My parents bought a turkey. / 両親が七面鳥を買いました。 It weighs 30 pounds. / 重さは30ポンドあります。 It takes a long time to cook. / 調理には長い時間がかかります。 My mom wakes up early to cook the turkey. / 母は七面鳥を料理するために早く起きます。 I clean the house with my dad. / 私は父と一緒に家を掃除します。 The house smells good. / 家の中は良い匂いがします。 We help mom in the kitchen. / 私たちはキッチンで母を手伝います。 I peel potatoes and carrots. / 私はジャガイモとニンジンの皮をむきます。
First Step	15	Linking	house with	/haʊs wɪð/	ﾊｳｽｳｨｽﾞ	sとwが滑らかに繋がります。		Thanksgiving. We are having Thanksgiving at our house.  My whole family is coming. My parents bought a turkey. It weighs 30 pounds. It takes a long time to cook. My mom wakes up early to cook the turkey.  I clean the house with my dad. The house smells good. We help mom in the kitchen. I peel potatoes and carrots.	Thanksgiving. / 感謝祭。 We are having Thanksgiving at our house. / 私たちの家で感謝祭を祝います。 My whole family is coming. / 家族全員が集まります。 My parents bought a turkey. / 両親が七面鳥を買いました。 It weighs 30 pounds. / 重さは30ポンドあります。 It takes a long time to cook. / 調理には長い時間がかかります。 My mom wakes up early to cook the turkey. / 母は七面鳥を料理するために早く起きます。 I clean the house with my dad. / 私は父と一緒に家を掃除します。 The house smells good. / 家の中は良い匂いがします。 We help mom in the kitchen. / 私たちはキッチンで母を手伝います。 I peel potatoes and carrots. / 私はジャガイモとニンジンの皮をむきます。
First Step	15	Linking	mom in	/mɑːm ɪn/	ﾏﾏｨﾝ	mとiが繋がり「ﾏﾏｨﾝ」になります。		Thanksgiving. We are having Thanksgiving at our house.  My whole family is coming. My parents bought a turkey. It weighs 30 pounds. It takes a long time to cook. My mom wakes up early to cook the turkey.  I clean the house with my dad. The house smells good. We help mom in the kitchen. I peel potatoes and carrots.	Thanksgiving. / 感謝祭。 We are having Thanksgiving at our house. / 私たちの家で感謝祭を祝います。 My whole family is coming. / 家族全員が集まります。 My parents bought a turkey. / 両親が七面鳥を買いました。 It weighs 30 pounds. / 重さは30ポンドあります。 It takes a long time to cook. / 調理には長い時間がかかります。 My mom wakes up early to cook the turkey. / 母は七面鳥を料理するために早く起きます。 I clean the house with my dad. / 私は父と一緒に家を掃除します。 The house smells good. / 家の中は良い匂いがします。 We help mom in the kitchen. / 私たちはキッチンで母を手伝います。 I peel potatoes and carrots. / 私はジャガイモとニンジンの皮をむきます。
First Step	15	Flap T	weights 30	/weɪts ˈθɜːr i/	ｳｪｲﾂｻｰﾘ	thirtyのtが母音に挟まれﾌﾗｯﾌﾟ化し「ｻｰﾘ」のように聞こえます。		Thanksgiving. We are having Thanksgiving at our house.  My whole family is coming. My parents bought a turkey. It weighs 30 pounds. It takes a long time to cook. My mom wakes up early to cook the turkey.  I clean the house with my dad. The house smells good. We help mom in the kitchen. I peel potatoes and carrots.	Thanksgiving. / 感謝祭。 We are having Thanksgiving at our house. / 私たちの家で感謝祭を祝います。 My whole family is coming. / 家族全員が集まります。 My parents bought a turkey. / 両親が七面鳥を買いました。 It weighs 30 pounds. / 重さは30ポンドあります。 It takes a long time to cook. / 調理には長い時間がかかります。 My mom wakes up early to cook the turkey. / 母は七面鳥を料理するために早く起きます。 I clean the house with my dad. / 私は父と一緒に家を掃除します。 The house smells good. / 家の中は良い匂いがします。 We help mom in the kitchen. / 私たちはキッチンで母を手伝います。 I peel potatoes and carrots. / 私はジャガイモとニンジンの皮をむきます。
First Step	15	Flap T	potatoes	/pəˈteɪroʊz/	ﾊﾟﾃｲﾛｳｽﾞ	tが母音に挟まれﾌﾗｯﾌﾟ化し「ﾊﾟﾃｲﾛｳｽﾞ」になります。		Thanksgiving. We are having Thanksgiving at our house.  My whole family is coming. My parents bought a turkey. It weighs 30 pounds. It takes a long time to cook. My mom wakes up early to cook the turkey.  I clean the house with my dad. The house smells good. We help mom in the kitchen. I peel potatoes and carrots.	Thanksgiving. / 感謝祭。 We are having Thanksgiving at our house. / 私たちの家で感謝祭を祝います。 My whole family is coming. / 家族全員が集まります。 My parents bought a turkey. / 両親が七面鳥を買いました。 It weighs 30 pounds. / 重さは30ポンドあります。 It takes a long time to cook. / 調理には長い時間がかかります。 My mom wakes up early to cook the turkey. / 母は七面鳥を料理するために早く起きます。 I clean the house with my dad. / 私は父と一緒に家を掃除します。 The house smells good. / 家の中は良い匂いがします。 We help mom in the kitchen. / 私たちはキッチンで母を手伝います。 I peel potatoes and carrots. / 私はジャガイモとニンジンの皮をむきます。
First Step	15	Reduction	whole family	/hoʊl ˈfæməli/	ﾎｳﾌｧﾐﾘｰ	lが次のfに飲み込まれ、非常に弱く発音されます。		Thanksgiving. We are having Thanksgiving at our house.  My whole family is coming. My parents bought a turkey. It weighs 30 pounds. It takes a long time to cook. My mom wakes up early to cook the turkey.  I clean the house with my dad. The house smells good. We help mom in the kitchen. I peel potatoes and carrots.	Thanksgiving. / 感謝祭。 We are having Thanksgiving at our house. / 私たちの家で感謝祭を祝います。 My whole family is coming. / 家族全員が集まります。 My parents bought a turkey. / 両親が七面鳥を買いました。 It weighs 30 pounds. / 重さは30ポンドあります。 It takes a long time to cook. / 調理には長い時間がかかります。 My mom wakes up early to cook the turkey. / 母は七面鳥を料理するために早く起きます。 I clean the house with my dad. / 私は父と一緒に家を掃除します。 The house smells good. / 家の中は良い匂いがします。 We help mom in the kitchen. / 私たちはキッチンで母を手伝います。 I peel potatoes and carrots. / 私はジャガイモとニンジンの皮をむきます。
First Step	15	Reduction	bought a	/bɔː rə/	ﾎﾞｰﾗ	boughtのtが消失し、aと繋がって「ﾎﾞｰﾗ」になります。		Thanksgiving. We are having Thanksgiving at our house.  My whole family is coming. My parents bought a turkey. It weighs 30 pounds. It takes a long time to cook. My mom wakes up early to cook the turkey.  I clean the house with my dad. The house smells good. We help mom in the kitchen. I peel potatoes and carrots.	Thanksgiving. / 感謝祭。 We are having Thanksgiving at our house. / 私たちの家で感謝祭を祝います。 My whole family is coming. / 家族全員が集まります。 My parents bought a turkey. / 両親が七面鳥を買いました。 It weighs 30 pounds. / 重さは30ポンドあります。 It takes a long time to cook. / 調理には長い時間がかかります。 My mom wakes up early to cook the turkey. / 母は七面鳥を料理するために早く起きます。 I clean the house with my dad. / 私は父と一緒に家を掃除します。 The house smells good. / 家の中は良い匂いがします。 We help mom in the kitchen. / 私たちはキッチンで母を手伝います。 I peel potatoes and carrots. / 私はジャガイモとニンジンの皮をむきます。
First Step	16	Linking	bread and	/brɛdənd/	ﾌﾞﾚｯﾀﾞﾝ	dとaが繋がり、さらにandのdが消失して「ﾌﾞﾚｯﾀﾞﾝ」になります。		My dad makes pumpkin pies.  My mom cooks squash. I help my mom make stuffing.  I mix the bread and spices.  We make good stuffing. It goes inside the turkey.  We put on nice clothes. I set the table. My dad carves the turkey.  My mom makes the gravy.  Our relatives arrive. We say, thank you for all we have.  We eat and eat. It is a good Thanksgiving.	My dad makes pumpkin pies. / 父はパンプキンパイを作ります。 My mom cooks squash. / 母はカボチャを料理します。 I help my mom make stuffing. / 私は母がスタッフィング（詰め物）を作るのを手伝います。 I mix the bread and spices. / 私はパンとスパイスを混ぜます。 We make good stuffing. / 私たちは美味しいスタッフィングを作ります。 It goes inside the turkey. / それは七面鳥の中に入れます。 We put on nice clothes. / 私たちは素敵な服を着ます。 I set the table. / 私はテーブルをセットします。 My dad carves the turkey. / 父が七面鳥を切り分けます。 My mom makes the gravy. / 母がグレービーソースを作ります。 Our relatives arrive. / 親戚たちが到着します。 We say, thank you for all we have. / 私たちは、今あるすべてのものに感謝します。 We eat and eat. / 私たちはひたすら食べます。 It is a good Thanksgiving. / 良い感謝祭です。
First Step	16	Linking	put on	/pʊrɑːn/	ﾌﾟﾗﾝ	tが母音に挟まれﾌﾗｯﾌﾟ化し、onと繋がり「ﾌﾟﾗﾝ」になります。		My dad makes pumpkin pies.  My mom cooks squash. I help my mom make stuffing.  I mix the bread and spices.  We make good stuffing. It goes inside the turkey.  We put on nice clothes. I set the table. My dad carves the turkey.  My mom makes the gravy.  Our relatives arrive. We say, thank you for all we have.  We eat and eat. It is a good Thanksgiving.	My dad makes pumpkin pies. / 父はパンプキンパイを作ります。 My mom cooks squash. / 母はカボチャを料理します。 I help my mom make stuffing. / 私は母がスタッフィング（詰め物）を作るのを手伝います。 I mix the bread and spices. / 私はパンとスパイスを混ぜます。 We make good stuffing. / 私たちは美味しいスタッフィングを作ります。 It goes inside the turkey. / それは七面鳥の中に入れます。 We put on nice clothes. / 私たちは素敵な服を着ます。 I set the table. / 私はテーブルをセットします。 My dad carves the turkey. / 父が七面鳥を切り分けます。 My mom makes the gravy. / 母がグレービーソースを作ります。 Our relatives arrive. / 親戚たちが到着します。 We say, thank you for all we have. / 私たちは、今あるすべてのものに感謝します。 We eat and eat. / 私たちはひたすら食べます。 It is a good Thanksgiving. / 良い感謝祭です。
First Step	16	Linking	relatives arrive	/ˈrɛlətɪvz əˈraɪv/	ﾚﾗﾃｨｳﾞｻﾞﾗｲｳﾞ	zとaが繋がり「ﾚﾗﾃｨｳﾞｻﾞﾗｲｳﾞ」になります。		My dad makes pumpkin pies.  My mom cooks squash. I help my mom make stuffing.  I mix the bread and spices.  We make good stuffing. It goes inside the turkey.  We put on nice clothes. I set the table. My dad carves the turkey.  My mom makes the gravy.  Our relatives arrive. We say, thank you for all we have.  We eat and eat. It is a good Thanksgiving.	My dad makes pumpkin pies. / 父はパンプキンパイを作ります。 My mom cooks squash. / 母はカボチャを料理します。 I help my mom make stuffing. / 私は母がスタッフィング（詰め物）を作るのを手伝います。 I mix the bread and spices. / 私はパンとスパイスを混ぜます。 We make good stuffing. / 私たちは美味しいスタッフィングを作ります。 It goes inside the turkey. / それは七面鳥の中に入れます。 We put on nice clothes. / 私たちは素敵な服を着ます。 I set the table. / 私はテーブルをセットします。 My dad carves the turkey. / 父が七面鳥を切り分けます。 My mom makes the gravy. / 母がグレービーソースを作ります。 Our relatives arrive. / 親戚たちが到着します。 We say, thank you for all we have. / 私たちは、今あるすべてのものに感謝します。 We eat and eat. / 私たちはひたすら食べます。 It is a good Thanksgiving. / 良い感謝祭です。
First Step	16	Linking	for all	/fərɔːl/	ﾌｫｱｰﾙ	rとaが繋がり「ﾌｫｱｰﾙ」になります。		My dad makes pumpkin pies.  My mom cooks squash. I help my mom make stuffing.  I mix the bread and spices.  We make good stuffing. It goes inside the turkey.  We put on nice clothes. I set the table. My dad carves the turkey.  My mom makes the gravy.  Our relatives arrive. We say, thank you for all we have.  We eat and eat. It is a good Thanksgiving.	My dad makes pumpkin pies. / 父はパンプキンパイを作ります。 My mom cooks squash. / 母はカボチャを料理します。 I help my mom make stuffing. / 私は母がスタッフィング（詰め物）を作るのを手伝います。 I mix the bread and spices. / 私はパンとスパイスを混ぜます。 We make good stuffing. / 私たちは美味しいスタッフィングを作ります。 It goes inside the turkey. / それは七面鳥の中に入れます。 We put on nice clothes. / 私たちは素敵な服を着ます。 I set the table. / 私はテーブルをセットします。 My dad carves the turkey. / 父が七面鳥を切り分けます。 My mom makes the gravy. / 母がグレービーソースを作ります。 Our relatives arrive. / 親戚たちが到着します。 We say, thank you for all we have. / 私たちは、今あるすべてのものに感謝します。 We eat and eat. / 私たちはひたすら食べます。 It is a good Thanksgiving. / 良い感謝祭です。
First Step	16	Linking	eat and eat	/iːrən iːt/	ｲｰﾗﾆｰﾄ	tのﾌﾗｯﾌﾟ化と連結が連続し、一つの単語のように聞こえます。		My dad makes pumpkin pies.  My mom cooks squash. I help my mom make stuffing.  I mix the bread and spices.  We make good stuffing. It goes inside the turkey.  We put on nice clothes. I set the table. My dad carves the turkey.  My mom makes the gravy.  Our relatives arrive. We say, thank you for all we have.  We eat and eat. It is a good Thanksgiving.	My dad makes pumpkin pies. / 父はパンプキンパイを作ります。 My mom cooks squash. / 母はカボチャを料理します。 I help my mom make stuffing. / 私は母がスタッフィング（詰め物）を作るのを手伝います。 I mix the bread and spices. / 私はパンとスパイスを混ぜます。 We make good stuffing. / 私たちは美味しいスタッフィングを作ります。 It goes inside the turkey. / それは七面鳥の中に入れます。 We put on nice clothes. / 私たちは素敵な服を着ます。 I set the table. / 私はテーブルをセットします。 My dad carves the turkey. / 父が七面鳥を切り分けます。 My mom makes the gravy. / 母がグレービーソースを作ります。 Our relatives arrive. / 親戚たちが到着します。 We say, thank you for all we have. / 私たちは、今あるすべてのものに感謝します。 We eat and eat. / 私たちはひたすら食べます。 It is a good Thanksgiving. / 良い感謝祭です。
First Step	16	Linking	It is a	/ɪrɪzə/	ｲﾘｻﾞ	tのﾌﾗｯﾌﾟ化、zとaの連結により「ｲﾘｻﾞ」になります。		My dad makes pumpkin pies.  My mom cooks squash. I help my mom make stuffing.  I mix the bread and spices.  We make good stuffing. It goes inside the turkey.  We put on nice clothes. I set the table. My dad carves the turkey.  My mom makes the gravy.  Our relatives arrive. We say, thank you for all we have.  We eat and eat. It is a good Thanksgiving.	My dad makes pumpkin pies. / 父はパンプキンパイを作ります。 My mom cooks squash. / 母はカボチャを料理します。 I help my mom make stuffing. / 私は母がスタッフィング（詰め物）を作るのを手伝います。 I mix the bread and spices. / 私はパンとスパイスを混ぜます。 We make good stuffing. / 私たちは美味しいスタッフィングを作ります。 It goes inside the turkey. / それは七面鳥の中に入れます。 We put on nice clothes. / 私たちは素敵な服を着ます。 I set the table. / 私はテーブルをセットします。 My dad carves the turkey. / 父が七面鳥を切り分けます。 My mom makes the gravy. / 母がグレービーソースを作ります。 Our relatives arrive. / 親戚たちが到着します。 We say, thank you for all we have. / 私たちは、今あるすべてのものに感謝します。 We eat and eat. / 私たちはひたすら食べます。 It is a good Thanksgiving. / 良い感謝祭です。
First Step	16	Reduction	help my	/hɛlp maɪ/	ﾍﾙﾏｲ	pが消失し「ﾍﾙﾏｲ」になります。		My dad makes pumpkin pies.  My mom cooks squash. I help my mom make stuffing.  I mix the bread and spices.  We make good stuffing. It goes inside the turkey.  We put on nice clothes. I set the table. My dad carves the turkey.  My mom makes the gravy.  Our relatives arrive. We say, thank you for all we have.  We eat and eat. It is a good Thanksgiving.	My dad makes pumpkin pies. / 父はパンプキンパイを作ります。 My mom cooks squash. / 母はカボチャを料理します。 I help my mom make stuffing. / 私は母がスタッフィング（詰め物）を作るのを手伝います。 I mix the bread and spices. / 私はパンとスパイスを混ぜます。 We make good stuffing. / 私たちは美味しいスタッフィングを作ります。 It goes inside the turkey. / それは七面鳥の中に入れます。 We put on nice clothes. / 私たちは素敵な服を着ます。 I set the table. / 私はテーブルをセットします。 My dad carves the turkey. / 父が七面鳥を切り分けます。 My mom makes the gravy. / 母がグレービーソースを作ります。 Our relatives arrive. / 親戚たちが到着します。 We say, thank you for all we have. / 私たちは、今あるすべてのものに感謝します。 We eat and eat. / 私たちはひたすら食べます。 It is a good Thanksgiving. / 良い感謝祭です。
First Step	16	Reduction	good stuffing	/ɡʊ ˈstʌfɪŋ/	ｸﾞｯｽﾀｯﾌｨﾝ	dが消失し、次のsへ滑らかに繋がります。		My dad makes pumpkin pies.  My mom cooks squash. I help my mom make stuffing.  I mix the bread and spices.  We make good stuffing. It goes inside the turkey.  We put on nice clothes. I set the table. My dad carves the turkey.  My mom makes the gravy.  Our relatives arrive. We say, thank you for all we have.  We eat and eat. It is a good Thanksgiving.	My dad makes pumpkin pies. / 父はパンプキンパイを作ります。 My mom cooks squash. / 母はカボチャを料理します。 I help my mom make stuffing. / 私は母がスタッフィング（詰め物）を作るのを手伝います。 I mix the bread and spices. / 私はパンとスパイスを混ぜます。 We make good stuffing. / 私たちは美味しいスタッフィングを作ります。 It goes inside the turkey. / それは七面鳥の中に入れます。 We put on nice clothes. / 私たちは素敵な服を着ます。 I set the table. / 私はテーブルをセットします。 My dad carves the turkey. / 父が七面鳥を切り分けます。 My mom makes the gravy. / 母がグレービーソースを作ります。 Our relatives arrive. / 親戚たちが到着します。 We say, thank you for all we have. / 私たちは、今あるすべてのものに感謝します。 We eat and eat. / 私たちはひたすら食べます。 It is a good Thanksgiving. / 良い感謝祭です。
TOEIC #Part3	1	Linking	have another	/hævəˈnʌðər/	ﾊｳﾞｧﾅｻﾞｰ	vとaが繋がり「ﾊｳﾞｧﾅｻﾞｰ」になります。	1NNpv8V27G66sful7dr6WDnAx66pq4ghG	I love this jacket! Do you have another one just like it? I’m afraid that’s the last one we have in medium. Is there something wrong with it? There’s a small tear on the seam of the left sleeve. But I really like it a lot! Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound?	I love this jacket! Do you have another one just like it? このジャケット、とても気に入りました！これと全く同じものの在庫は他にありますか？  I’m afraid that’s the last one we have in medium. Is there something wrong with it? あいにく、Mサイズはこちらが最後の一点となっております。何か不具合がございましたでしょうか？  There’s a small tear on the seam of the left sleeve. But I really like it a lot! 左袖の縫い目のところに小さな破れがあるんです。でも、本当にこれが気に入っていて！  Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound? さようですか。もし現状のままでご購入いただけるのでしたら、その破れがある分、お安くさせていただきます。20%引きというのはいかがでしょうか？
TOEIC #Part3	1	Linking	I’m afraid	/aɪməˈfreɪd/	ｱｲﾏﾌﾚｲﾄﾞ	mとaが繋がり「ｱｲﾏﾌﾚｲﾄﾞ」になります。	1NNpv8V27G66sful7dr6WDnAx66pq4ghG	I love this jacket! Do you have another one just like it? I’m afraid that’s the last one we have in medium. Is there something wrong with it? There’s a small tear on the seam of the left sleeve. But I really like it a lot! Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound?	I love this jacket! Do you have another one just like it? このジャケット、とても気に入りました！これと全く同じものの在庫は他にありますか？  I’m afraid that’s the last one we have in medium. Is there something wrong with it? あいにく、Mサイズはこちらが最後の一点となっております。何か不具合がございましたでしょうか？  There’s a small tear on the seam of the left sleeve. But I really like it a lot! 左袖の縫い目のところに小さな破れがあるんです。でも、本当にこれが気に入っていて！  Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound? さようですか。もし現状のままでご購入いただけるのでしたら、その破れがある分、お安くさせていただきます。20%引きというのはいかがでしょうか？
TOEIC #Part3	1	Linking	have in	/hævɪn/	ﾊｳﾞｨﾝ	vとiが繋がり「ﾊｳﾞｨﾝ」になります。	1NNpv8V27G66sful7dr6WDnAx66pq4ghG	I love this jacket! Do you have another one just like it? I’m afraid that’s the last one we have in medium. Is there something wrong with it? There’s a small tear on the seam of the left sleeve. But I really like it a lot! Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound?	I love this jacket! Do you have another one just like it? このジャケット、とても気に入りました！これと全く同じものの在庫は他にありますか？  I’m afraid that’s the last one we have in medium. Is there something wrong with it? あいにく、Mサイズはこちらが最後の一点となっております。何か不具合がございましたでしょうか？  There’s a small tear on the seam of the left sleeve. But I really like it a lot! 左袖の縫い目のところに小さな破れがあるんです。でも、本当にこれが気に入っていて！  Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound? さようですか。もし現状のままでご購入いただけるのでしたら、その破れがある分、お安くさせていただきます。20%引きというのはいかがでしょうか？
TOEIC #Part3	1	Linking	with it	/wɪðɪt/	ｳｨｽﾞｨｯﾄ	thとiが繋がり「ｳｨｽﾞｨｯﾄ」になります。	1NNpv8V27G66sful7dr6WDnAx66pq4ghG	I love this jacket! Do you have another one just like it? I’m afraid that’s the last one we have in medium. Is there something wrong with it? There’s a small tear on the seam of the left sleeve. But I really like it a lot! Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound?	I love this jacket! Do you have another one just like it? このジャケット、とても気に入りました！これと全く同じものの在庫は他にありますか？  I’m afraid that’s the last one we have in medium. Is there something wrong with it? あいにく、Mサイズはこちらが最後の一点となっております。何か不具合がございましたでしょうか？  There’s a small tear on the seam of the left sleeve. But I really like it a lot! 左袖の縫い目のところに小さな破れがあるんです。でも、本当にこれが気に入っていて！  Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound? さようですか。もし現状のままでご購入いただけるのでしたら、その破れがある分、お安くさせていただきます。20%引きというのはいかがでしょうか？
TOEIC #Part3	1	Linking	There’s a	/ðɛərzə/	ｾﾞｱｻﾞ	zとaが繋がり「ｾﾞｱｻﾞ」になります。	1NNpv8V27G66sful7dr6WDnAx66pq4ghG	I love this jacket! Do you have another one just like it? I’m afraid that’s the last one we have in medium. Is there something wrong with it? There’s a small tear on the seam of the left sleeve. But I really like it a lot! Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound?	I love this jacket! Do you have another one just like it? このジャケット、とても気に入りました！これと全く同じものの在庫は他にありますか？  I’m afraid that’s the last one we have in medium. Is there something wrong with it? あいにく、Mサイズはこちらが最後の一点となっております。何か不具合がございましたでしょうか？  There’s a small tear on the seam of the left sleeve. But I really like it a lot! 左袖の縫い目のところに小さな破れがあるんです。でも、本当にこれが気に入っていて！  Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound? さようですか。もし現状のままでご購入いただけるのでしたら、その破れがある分、お安くさせていただきます。20%引きというのはいかがでしょうか？
TOEIC #Part3	1	Linking	tear on	/tɛərɑːn/	ﾃｱﾛﾝ	rとoが繋がり「ﾃｱﾛﾝ」になります。	1NNpv8V27G66sful7dr6WDnAx66pq4ghG	I love this jacket! Do you have another one just like it? I’m afraid that’s the last one we have in medium. Is there something wrong with it? There’s a small tear on the seam of the left sleeve. But I really like it a lot! Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound?	I love this jacket! Do you have another one just like it? このジャケット、とても気に入りました！これと全く同じものの在庫は他にありますか？  I’m afraid that’s the last one we have in medium. Is there something wrong with it? あいにく、Mサイズはこちらが最後の一点となっております。何か不具合がございましたでしょうか？  There’s a small tear on the seam of the left sleeve. But I really like it a lot! 左袖の縫い目のところに小さな破れがあるんです。でも、本当にこれが気に入っていて！  Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound? さようですか。もし現状のままでご購入いただけるのでしたら、その破れがある分、お安くさせていただきます。20%引きというのはいかがでしょうか？
TOEIC #Part3	1	Linking	seam of	/siːməv/	ｽｨｰﾓｳﾞ	mとoが繋がり「ｽｨｰﾓｳﾞ」になります。	1NNpv8V27G66sful7dr6WDnAx66pq4ghG	I love this jacket! Do you have another one just like it? I’m afraid that’s the last one we have in medium. Is there something wrong with it? There’s a small tear on the seam of the left sleeve. But I really like it a lot! Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound?	I love this jacket! Do you have another one just like it? このジャケット、とても気に入りました！これと全く同じものの在庫は他にありますか？  I’m afraid that’s the last one we have in medium. Is there something wrong with it? あいにく、Mサイズはこちらが最後の一点となっております。何か不具合がございましたでしょうか？  There’s a small tear on the seam of the left sleeve. But I really like it a lot! 左袖の縫い目のところに小さな破れがあるんです。でも、本当にこれが気に入っていて！  Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound? さようですか。もし現状のままでご購入いただけるのでしたら、その破れがある分、お安くさせていただきます。20%引きというのはいかがでしょうか？
TOEIC #Part3	1	Linking	Well, if	/wɛlɪf/	ｳｪﾘﾌ	lとiが繋がり「ｳｪﾘﾌ」になります。	1NNpv8V27G66sful7dr6WDnAx66pq4ghG	I love this jacket! Do you have another one just like it? I’m afraid that’s the last one we have in medium. Is there something wrong with it? There’s a small tear on the seam of the left sleeve. But I really like it a lot! Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound?	I love this jacket! Do you have another one just like it? このジャケット、とても気に入りました！これと全く同じものの在庫は他にありますか？  I’m afraid that’s the last one we have in medium. Is there something wrong with it? あいにく、Mサイズはこちらが最後の一点となっております。何か不具合がございましたでしょうか？  There’s a small tear on the seam of the left sleeve. But I really like it a lot! 左袖の縫い目のところに小さな破れがあるんです。でも、本当にこれが気に入っていて！  Well, if you buy the jacket as it is, then I can offer you a deal because of the tear. How does a 20% discount sound? さようですか。もし現状のままでご購入いただけるのでしたら、その破れがある分、お安くさせていただきます。20%引きというのはいかがでしょうか？
